target_speed,steer_gain,centering_gain,brake_threshold,gentle_speed,sharp_speed,straight_speed,lap_time
120,73,1.95,0.55,300,300,190,10000000
120,73,1.95,0.55,85,65,190,123.562
120.0,73.0,1.95,0.393,85.0,65.0,190.0,123.562
120.0,73.0,1.95,0.55,85.0,26.328,190.0,157.486
120.0,73.0,1.95,0.55,85.0,61.384,190.0,128.006
120.0,73.0,1.95,0.202,85.0,65.0,190.0,10000000
120.0,73.0,1.95,0.55,121.668,65.0,190.0,10000000
120.0,73.0,1.95,0.55,85.0,74.939,190.0,10000000
120.0,73.0,1.95,0.55,85.0,65.0,124.15,138.546
120.0,73.0,1.95,0.55,131.226,65.0,190.0,123.518
120.0,73.0,1.95,0.55,131.226,50.421,190.0,130.666
120.0,52.218,1.95,0.55,131.226,65.0,190.0,10000000
120.0,73.0,1.95,0.55,131.226,65.0,137.187,131.246
120.0,63.453,1.95,0.55,131.226,65.0,190.0,10000000
120.0,73.0,1.95,0.55,131.226,47.302,190.0,130.006
120.0,73.0,0.906,0.55,131.226,65.0,190.0,122.286
120.0,73.0,0.246,0.55,131.226,65.0,190.0,10000000
120.0,73.0,0.906,0.55,110.039,65.0,190.0,10000000
120.0,59.115,0.906,0.55,131.226,65.0,190.0,10000000
120.0,73.0,0.906,0.55,133.514,65.0,190.0,122.22
120.0,73.0,0.906,0.55,133.514,65.0,207.887,121.934
120.0,40.599,0.906,0.55,133.514,65.0,207.887,10000000
120.0,73.0,0.906,0.55,155.594,65.0,207.887,121.45
120.0,73.0,0.906,0.55,96.846,65.0,207.887,127.28
120.0,73.0,0.906,0.55,100.356,65.0,207.887,124.024
120.0,73.0,0.906,0.55,155.594,51.777,207.887,134.786
120.0,73.0,0.906,1.062,155.594,65.0,207.887,121.45
120.0,73.0,0.906,0.55,147.472,65.0,207.887,121.626
120.0,73.0,0.906,0.55,155.594,53.27,207.887,133.266
179.951,73.0,0.906,0.55,155.594,65.0,207.887,10000000
120.0,73.0,0.906,0.55,92.73,65.0,207.887,10000000
120.0,73.0,0.906,0.55,155.594,65.0,153.627,127.192
120.0,73.0,0.03,0.55,155.594,65.0,207.887,10000000
120.0,89.994,0.906,0.55,155.594,65.0,207.887,142.126
120.0,73.0,0.906,0.55,147.339,65.0,207.887,121.67
120.0,73.0,0.906,0.55,155.594,53.703,207.887,136.386
120.0,73.0,0.906,0.55,155.594,65.0,192.738,127.324
120.0,73.0,0.906,0.935,155.594,65.0,207.887,121.45
120.0,73.0,0.906,0.55,155.594,65.0,120.0,133.666
120.0,73.0,0.617,0.55,155.594,65.0,207.887,128.006
172.711,73.0,0.906,0.55,155.594,65.0,207.887,10000000
120.0,15.826,0.906,0.55,155.594,65.0,207.887,10000000
120.0,73.0,0.906,0.982,155.594,65.0,207.887,121.45
120.0,73.0,0.906,0.982,155.594,65.0,120.0,133.666
162.653,73.0,0.906,0.982,155.594,65.0,207.887,10000000
274.37,73.0,0.906,0.982,155.594,65.0,274.37,10000000
120.0,73.0,1.863,0.982,155.594,65.0,207.887,124.838
120.0,73.0,0.906,0.982,110.1,65.0,207.887,124.046
148.411,73.0,0.906,0.982,155.594,65.0,207.887,10000000
120.0,73.0,0.261,0.982,155.594,65.0,207.887,129.446
120.0,73.0,0.906,0.982,155.594,65.0,120.0,133.666
120.0,73.0,0.906,1.287,155.594,65.0,207.887,121.45
120.0,73.0,1.97,1.287,155.594,65.0,207.887,124.574
120.0,73.0,0.906,0.689,155.594,65.0,207.887,121.45
120.0,73.0,0.906,0.689,155.594,37.929,207.887,134.266
120.0,21.508,0.906,0.689,155.594,65.0,207.887,10000000
120.0,73.0,0.906,0.689,155.594,56.103,207.887,10000000
120.0,73.0,0.906,0.689,155.594,65.0,158.432,126.972
120.0,73.0,0.906,0.689,153.639,65.0,207.887,121.494
292.677,73.0,0.906,0.689,155.594,65.0,292.677,10000000
120.0,73.0,1.895,0.689,155.594,65.0,207.887,122.044
120.0,73.0,0.906,0.276,155.594,65.0,207.887,122.66
120.0,73.0,0.906,0.689,155.594,74.485,207.887,10000000
120.0,51.958,0.906,0.689,155.594,65.0,207.887,10000000
120.0,73.0,0.906,0.689,155.594,28.228,207.887,10000000
120.0,73.0,0.906,0.689,155.594,70.357,207.887,10000000
120.0,73.0,0.906,0.689,155.594,4.267,207.887,10000000
120.0,3.426,0.906,0.689,155.594,65.0,207.887,10000000
131.996,73.0,0.906,0.689,155.594,65.0,207.887,10000000
120.0,73.0,0.906,0.689,141.765,65.0,207.887,121.736
120.0,73.0,0.906,0.689,155.594,65.0,160.291,126.246
243.356,73.0,0.906,0.689,155.594,65.0,243.356,10000000
120.0,73.0,0.906,0.689,104.298,65.0,207.887,125.014
120.0,73.0,0.906,0.689,107.803,65.0,207.887,123.694
120.0,73.0,0.906,1.343,155.594,65.0,207.887,121.45
120.0,39.205,0.906,1.343,155.594,65.0,207.887,10000000
120.0,73.0,0.906,1.343,155.594,65.0,122.58,133.946
153.217,73.0,0.906,1.343,155.594,65.0,207.887,10000000
120.0,73.0,0.341,1.343,155.594,65.0,207.887,129.446
120.0,73.0,0.906,1.343,155.594,51.689,207.887,132.426
120.0,73.0,0.906,1.154,155.594,65.0,207.887,121.45
120.0,73.0,0.906,1.493,155.594,65.0,207.887,121.45
120.0,73.0,0.396,1.493,155.594,65.0,207.887,125.894
120.0,70.04,0.906,1.493,155.594,65.0,207.887,10000000
120.0,73.0,0.906,1.493,135.998,65.0,207.887,121.868
230.465,73.0,0.906,1.493,155.594,65.0,230.465,10000000
120.0,73.0,0.906,1.493,148.618,65.0,207.887,121.582
120.0,73.0,0.906,1.493,155.594,30.072,207.887,10000000
120.0,73.0,0.906,0.71,155.594,65.0,207.887,121.45
120.0,73.0,0.906,0.71,155.594,34.895,207.887,136.126
120.0,73.0,0.906,0.71,129.161,65.0,207.887,122.044
120.0,73.0,0.906,0.71,155.594,60.39,207.887,131.066
120.0,73.0,0.906,0.71,155.594,28.972,207.887,147.186
120.0,73.0,0.906,0.71,139.612,65.0,207.887,121.78
120.0,73.0,0.906,0.71,155.594,4.431,207.887,10000000
120.0,73.0,0.926,0.71,155.594,65.0,207.887,123.826
120.0,73.0,0.906,1.185,155.594,65.0,207.887,121.45
120.0,73.0,0.906,1.185,155.594,65.0,259.684,121.45
120.0,73.0,0.503,1.185,155.594,65.0,259.684,10000000
120.0,73.0,0.906,1.095,155.594,65.0,259.684,121.45
120.0,73.0,0.906,1.095,155.594,40.979,259.684,135.826
202.948,73.0,0.906,1.095,155.594,65.0,259.684,10000000
120.0,73.0,0.906,1.095,155.594,49.522,259.684,127.808
120.0,73.0,0.906,1.168,155.594,65.0,259.684,121.45
90.088,73.0,0.906,1.168,155.594,65.0,259.684,10000000
120.0,73.0,0.651,1.168,155.594,65.0,259.684,10000000
120.0,73.0,0.906,1.199,155.594,65.0,259.684,121.45
120.0,73.0,0.906,1.199,108.386,65.0,259.684,10000000
120.0,73.0,0.906,1.467,155.594,65.0,259.684,121.45
120.0,73.0,0.906,1.467,135.842,65.0,259.684,121.89
120.0,73.0,0.906,1.467,120.281,65.0,259.684,130.526
120.0,5.892,0.906,1.467,155.594,65.0,259.684,10000000
120.0,73.0,0.906,0.78,155.594,65.0,259.684,121.45
292.124,73.0,0.906,0.78,155.594,65.0,292.124,10000000
120.0,73.0,0.906,0.78,150.833,65.0,259.684,121.516
120.0,73.0,0.906,0.78,155.594,65.0,263.471,121.45
127.816,73.0,0.906,0.78,155.594,65.0,263.471,10000000
120.0,94.881,0.906,0.78,155.594,65.0,263.471,144.506
120.0,73.0,0.906,0.78,155.594,65.0,276.505,121.45
297.718,73.0,0.906,0.78,155.594,65.0,297.718,10000000
120.0,90.728,0.906,0.78,155.594,65.0,276.505,141.046
120.0,73.0,0.906,0.78,155.594,65.0,299.094,121.45
120.0,73.0,0.906,1.478,155.594,65.0,299.094,10000000
120.0,73.0,0.906,0.78,155.594,73.951,299.094,10000000
120.0,73.0,0.906,0.78,155.594,15.31,299.094,10000000
120.0,73.0,0.906,0.78,155.594,65.0,263.581,121.45
120.0,73.0,0.906,0.78,155.594,36.941,263.581,135.186
120.0,73.0,0.906,0.78,141.656,65.0,263.581,121.736
120.0,73.0,0.906,0.044,155.594,65.0,263.581,10000000
120.0,73.0,1.464,0.78,155.594,65.0,263.581,126.136
120.0,73.0,1.103,0.78,155.594,65.0,263.581,10000000
120.0,73.0,0.906,0.78,155.594,65.0,120.0,133.666
120.0,73.0,1.436,0.78,155.594,65.0,263.581,10000000
120.0,73.0,0.817,0.78,155.594,65.0,263.581,123.804
120.0,73.0,0.906,0.735,155.594,65.0,263.581,121.45
120.0,73.0,0.906,0.727,155.594,65.0,263.581,121.45
263.056,73.0,0.906,0.727,155.594,65.0,263.581,10000000
140.554,73.0,0.906,0.727,155.594,65.0,263.581,10000000
120.0,73.0,0.068,0.727,155.594,65.0,263.581,10000000
120.0,73.0,0.906,0.727,126.901,65.0,263.581,122.11
120.0,73.0,0.906,0.727,155.594,38.931,263.581,134.986
120.0,73.0,0.143,0.727,155.594,65.0,263.581,10000000
120.0,73.0,0.906,0.727,155.594,37.957,263.581,134.486
124.892,73.0,0.906,0.727,155.594,65.0,263.581,123.43
120.0,73.0,0.666,0.727,155.594,65.0,263.581,126.51
120.0,74.692,0.906,0.727,155.594,65.0,263.581,127.434
120.0,73.0,0.906,0.727,155.594,72.963,263.581,10000000
120.0,73.0,0.906,0.37,155.594,65.0,263.581,121.45
120.0,73.0,0.906,0.786,155.594,65.0,263.581,121.45
206.374,73.0,0.906,0.786,155.594,65.0,263.581,10000000
120.0,73.0,0.906,0.786,155.594,65.0,275.641,121.45
120.0,73.0,0.906,0.786,155.594,65.0,120.0,133.666
120.0,73.0,1.679,0.786,155.594,65.0,275.641,10000000
297.047,73.0,0.906,0.786,155.594,65.0,297.047,10000000
120.0,73.0,1.775,0.786,155.594,65.0,275.641,125.014
120.0,28.518,0.906,0.786,155.594,65.0,275.641,10000000
120.0,73.0,0.906,0.786,155.594,18.493,275.641,10000000
120.0,71.746,0.906,0.786,155.594,65.0,275.641,122.55
120.0,73.0,1.93,0.786,155.594,65.0,275.641,10000000
120.0,73.0,1.995,0.786,155.594,65.0,275.641,10000000
120.0,73.0,0.906,0.786,156.194,65.0,275.641,121.428
120.0,60.267,0.906,0.786,156.194,65.0,275.641,10000000
120.0,73.0,0.906,0.786,141.231,65.0,275.641,121.758
120.0,73.0,0.906,0.786,156.194,65.0,256.266,121.428
120.0,73.0,0.906,0.5,156.194,65.0,256.266,121.428
120.0,73.0,0.906,0.5,136.683,65.0,256.266,121.846
120.0,12.656,0.906,0.5,156.194,65.0,256.266,10000000
120.0,73.0,0.906,1.275,156.194,65.0,256.266,121.428
120.0,73.0,0.906,1.275,156.194,47.964,256.266,134.806
120.0,73.0,0.906,1.317,156.194,65.0,256.266,121.428
102.357,73.0,0.906,1.317,156.194,65.0,256.266,10000000
120.0,73.0,0.906,0.934,156.194,65.0,256.266,121.428
120.0,42.006,0.906,0.934,156.194,65.0,256.266,10000000
178.932,73.0,0.906,0.934,156.194,65.0,256.266,10000000
120.0,73.0,0.906,0.934,144.267,65.0,256.266,121.692
120.0,73.0,0.906,0.934,156.194,65.0,290.976,121.428
120.0,73.0,0.906,0.934,89.305,65.0,290.976,10000000
120.0,73.0,0.906,0.934,90.994,65.0,290.976,126.708
120.0,73.0,0.906,0.934,156.194,38.174,290.976,10000000
120.0,73.0,0.906,0.934,156.194,65.0,270.093,121.428
120.0,88.588,0.906,0.934,156.194,65.0,270.093,140.546
120.0,73.0,0.906,0.934,156.194,65.0,266.966,121.428
84.019,73.0,0.906,0.934,156.194,65.0,266.966,128.906
87.861,73.0,0.906,0.934,156.194,65.0,266.966,133.166
120.0,73.0,1.126,0.934,156.194,65.0,266.966,124.09
120.0,73.0,0.906,0.934,149.765,65.0,266.966,121.56
120.0,73.0,0.906,0.072,156.194,65.0,266.966,125.938
120.0,73.0,0.906,0.987,156.194,65.0,266.966,121.428
120.0,73.0,0.906,0.987,156.194,21.875,266.966,10000000
120.0,73.0,0.659,0.987,156.194,65.0,266.966,10000000
120.0,73.0,0.906,0.468,156.194,65.0,266.966,121.428
120.0,73.0,0.906,0.468,155.523,65.0,266.966,121.45
120.0,73.0,1.35,0.468,156.194,65.0,266.966,10000000
120.0,73.0,0.906,1.026,156.194,65.0,266.966,121.428
120.0,73.0,0.906,1.026,156.194,65.0,279.771,121.428
120.0,73.0,0.906,1.461,156.194,65.0,279.771,121.428
120.0,73.0,0.589,1.461,156.194,65.0,279.771,123.518
120.0,73.0,0.906,1.461,156.194,25.825,279.771,10000000
149.727,73.0,0.906,1.461,156.194,65.0,279.771,10000000
120.0,73.0,0.906,1.461,156.194,65.0,154.816,127.874
120.0,73.0,0.906,1.104,156.194,65.0,279.771,121.428
120.0,73.0,0.906,1.104,124.582,65.0,279.771,122.242
120.0,73.0,0.906,1.104,156.194,36.505,279.771,135.346
120.0,73.0,0.906,1.104,156.194,34.039,279.771,136.446
120.0,73.0,1.446,1.104,156.194,65.0,279.771,10000000
120.0,73.0,0.906,1.104,156.194,58.225,279.771,131.566
120.0,73.0,0.906,0.738,156.194,65.0,279.771,121.428
116.294,73.0,0.906,0.738,156.194,65.0,279.771,10000000
120.0,73.0,0.906,0.662,156.194,65.0,279.771,121.428
120.0,48.812,0.906,0.662,156.194,65.0,279.771,10000000
120.0,73.0,0.906,0.662,148.267,65.0,279.771,121.604
108.48,73.0,0.906,0.662,156.194,65.0,279.771,129.886
120.0,73.0,0.355,0.662,156.194,65.0,279.771,126.752
120.0,73.0,0.906,1.212,156.194,65.0,279.771,121.428
217.454,73.0,0.906,1.212,156.194,65.0,279.771,10000000
160.088,73.0,0.906,1.212,156.194,65.0,279.771,10000000
120.0,73.0,0.429,1.212,156.194,65.0,279.771,126.356
120.0,73.0,0.906,1.212,156.194,16.119,279.771,10000000
76.112,73.0,0.906,1.212,156.194,65.0,279.771,10000000
120.0,73.0,0.906,1.212,156.194,65.242,279.771,125.058
120.0,73.0,0.906,1.212,156.194,68.818,279.771,10000000
120.0,73.0,1.34,1.212,156.194,65.0,279.771,10000000
120.0,73.0,0.906,1.212,102.557,65.0,279.771,10000000
120.0,73.0,0.906,1.212,140.588,65.0,279.771,121.758
120.0,73.0,0.906,1.212,156.194,29.293,279.771,134.966
120.0,73.0,0.906,1.212,122.787,65.0,279.771,122.264
120.0,73.0,1.461,1.212,156.194,65.0,279.771,125.278
120.0,73.0,0.906,1.212,156.194,73.95,279.771,10000000
120.0,73.0,0.906,0.235,156.194,65.0,279.771,125.234
120.0,73.0,0.906,1.212,156.194,34.945,279.771,134.806
120.0,73.0,0.997,1.212,156.194,65.0,279.771,127.214
120.0,73.0,0.906,1.212,156.194,65.0,150.092,127.214
120.0,73.0,0.657,1.212,156.194,65.0,279.771,10000000
120.0,73.0,0.906,1.212,156.194,18.491,279.771,10000000
235.857,73.0,0.906,1.212,156.194,65.0,279.771,10000000
120.0,14.312,0.906,1.212,156.194,65.0,279.771,10000000
120.0,73.0,0.906,1.212,156.194,65.0,268.912,121.428
120.0,73.0,1.197,1.212,156.194,65.0,268.912,10000000
120.0,73.0,0.906,0.494,156.194,65.0,268.912,121.428
197.05,73.0,0.906,0.494,156.194,65.0,268.912,10000000
120.0,12.676,0.906,0.494,156.194,65.0,268.912,10000000
214.493,73.0,0.906,0.494,156.194,65.0,268.912,10000000
120.0,38.177,0.906,0.494,156.194,65.0,268.912,10000000
120.0,73.0,0.906,0.494,114.31,65.0,268.912,10000000
120.0,73.0,0.154,0.494,156.194,65.0,268.912,10000000
120.0,73.0,0.598,0.494,156.194,65.0,268.912,123.078
120.0,73.0,1.333,0.494,156.194,65.0,268.912,121.934
120.0,73.0,0.906,0.494,132.054,65.0,268.912,121.978
120.0,20.466,0.906,0.494,156.194,65.0,268.912,10000000
185.206,73.0,0.906,0.494,156.194,65.0,268.912,10000000
120.0,92.769,0.906,0.494,156.194,65.0,268.912,143.246
120.0,73.0,0.906,0.494,156.194,65.0,173.899,10000000
107.305,73.0,0.906,0.494,156.194,65.0,268.912,126.114
120.0,73.0,0.906,0.494,156.194,65.0,167.079,10000000
120.0,2.008,0.906,0.494,156.194,65.0,268.912,10000000
221.521,73.0,0.906,0.494,156.194,65.0,268.912,10000000
120.0,91.085,0.906,0.494,156.194,65.0,268.912,140.946
120.0,73.0,1.343,0.494,156.194,65.0,268.912,10000000
147.979,73.0,0.906,0.494,156.194,65.0,268.912,10000000
120.0,73.0,0.906,0.494,156.194,65.0,286.804,121.428
120.0,73.0,0.154,0.494,156.194,65.0,286.804,10000000
80.323,73.0,0.906,0.494,156.194,65.0,286.804,131.766
120.0,73.0,0.906,0.494,128.406,65.0,286.804,122.088
120.0,69.05,0.906,0.494,156.194,65.0,286.804,10000000
120.0,73.0,0.906,0.494,110.792,65.0,286.804,126.62
120.0,69.942,0.906,0.494,156.194,65.0,286.804,10000000
120.0,73.0,0.906,0.494,156.194,65.0,120.0,133.666
120.0,73.0,1.502,0.494,156.194,65.0,286.804,125.52
120.0,73.0,1.396,0.494,156.194,65.0,286.804,10000000
120.0,73.0,0.906,0.494,128.357,65.0,286.804,122.066
185.233,73.0,0.906,0.494,156.194,65.0,286.804,10000000
120.0,73.0,0.866,0.494,156.194,65.0,286.804,125.344
120.0,27.334,0.906,0.494,156.194,65.0,286.804,10000000
120.0,73.0,0.906,0.494,156.194,65.0,120.0,133.666
231.965,73.0,0.906,0.494,156.194,65.0,286.804,10000000
120.0,73.0,0.906,0.494,156.194,14.801,286.804,10000000
120.0,73.0,0.906,0.494,156.194,65.0,184.994,123.518
120.0,73.0,0.906,0.494,156.194,44.77,286.804,135.326
120.0,73.0,0.907,0.494,156.194,65.0,286.804,125.036
120.0,25.987,0.906,0.494,156.194,65.0,286.804,10000000
108.749,73.0,0.906,0.494,156.194,65.0,286.804,10000000
120.0,73.0,0.906,0.394,156.194,65.0,286.804,121.428
120.0,73.0,1.816,0.394,156.194,65.0,286.804,123.518
120.0,75.931,0.906,0.394,156.194,65.0,286.804,129.966
120.0,73.0,1.743,0.394,156.194,65.0,286.804,10000000
120.0,73.0,0.906,0.394,156.194,65.0,263.607,121.428
120.0,93.135,0.906,0.394,156.194,65.0,263.607,142.986
120.0,73.0,0.906,0.394,156.194,65.0,213.345,121.428
120.0,73.0,0.906,0.394,156.194,37.736,213.345,136.526
120.0,73.0,0.906,0.394,156.194,7.526,213.345,138.466
